course_id,name,direction,hours
1,Python: основы,Программирование,72
2,Python: ООП,Менеджмент,36
3,Python: веб-разработка (FastAPI),Математика,48
4,SQL и базы данных,Дизайн,36
5,PostgreSQL: продвинутый уровень,Программирование,36
6,Алгоритмы и структуры данных,Математика,36
7,Git и командная работа,Дизайн,72
8,Тестирование (QA) основы,Дизайн,24
9,Data Science: введение,Дизайн,60
10,Машинное обучение: основы,Аналитика,72
11,Статистика для аналитиков,Менеджмент,60
12,Дискретная математика,Менеджмент,72
13,Линейная алгебра для DS,Математика,48
14,UX/UI: основы,Дизайн,60
15,UX: исследования,Программирование,60
16,Figma для начинающих,Аналитика,48
17,Figma: компоненты и дизайн-системы,Математика,72
18,Продакт-менеджмент: основы,Программирование,48
19,Scrum и Agile практики,Менеджмент,24
20,Коммуникации в команде,Математика,60
21,BI: Power BI основы,Аналитика,24
22,Excel для аналитиков,Программирование,48
23,ETL и пайплайны данных,Математика,24
24,Визуализация данных,Программирование,72
25,Основы кибербезопасности,Менеджмент,72
